id	text	count
428244646	德国 终究 没有 给 巴西人 复仇 的 机会	750
428226772	怀念 克洛泽 第一轮   惨遭 失利   ... 第二轮   绝处逢生   ... 第三轮   爆冷 淘汰   ... 1998 年 以来 发挥 的 最 中规中矩 的 欧洲 卫冕冠军 。 至少 三场 比赛 ， 踢 了 半场 好球 。 上 一场 下半场 怎么 赢 的 ， 勒夫 这场 比赛 就是 怎么 输 的 。 对比 一下 ， 02 年 的 法国队 ， 后防线 老化 严重 。 10 年 的 意大利 ， 整队 老化 严重 。 14 年 的 西班牙 ， 中场 老化 严重 。 这届 德国队 ， 阵容 整体 不错 ， 正是 黄金 年龄 。 这个 结局 只能 是勒夫 来 承担 。 明明 最后 一场 应该 是 生死战 ， 却 轮换 了 半支 球队 ？ ？ ？ 我 甚至 一度 怀疑 ， 勒夫 是不是 以为 只有 意大利 会 防守反击 ， 没有 意大利 教训 两下 ， 德国队 都 忘 了 自己 两届 欧洲杯 怎么 被 淘汰 的 .... 何况 赛前 韩国 主教练 都 说 了 ， 把 德国队 都 研究 透 了 。 虽然 我 是 无脑 黑 韩国队 ， 但 不得不 说 韩国 人 这场 真的 是 凭 实力 。	823
428226729	合着 卫冕冠军 这届 世界杯 打 了 接近 300 分钟 的 比赛 就 TM 领先 过 12 秒 ？	2708
428240647	卫冕冠军 德国 带 着 18 , 000 公升 啤酒 、 700 公斤 香肠 、 300 公斤 土豆 回去 了 ！	276
428249539	我 依然 痛恨 韩国队 ， 但 又 不得不 佩服 他们 的 坚韧 。 我 依然 厌恶 那些 叫嚷 ， 粗鄙 的 韩国 球迷 ， 却 又 真真切切 无比 强烈 地 嫉妒 他们 。	469
428266207	如果 另 一场 墨西哥 赢 了 瑞典 ， 韩国 就 出线 了 ( 这样 情况 下 ， 除 墨西哥 积 9 分外 ， 其余 三国 各积 3 分 ， 韩国 净胜球 为 0 ， 德瑞是 负数 ) 所以 韩国 真的 是 为了 尝试 他们 的 运气 在 拼命 ， 拼命 确实 拼出 了 结果 ， 只是 运气 不 在 他们 那边 。 想起 莎翁 剧里 的 一句 ： 我们 准备 试试 我们 的 运气 ， 战至 最后 一人 。 — — 威廉 . 莎士比亚 ， [ 亨利四世   第二卷   第四 幕   第二场 ]	340
430159430	我们 通过 元首 的 角度 来 看看 德国 输球         https : / / www . zhihu . com / video / 996354424004014080      	757
428310076	作为 半个 伪 德国 球迷 ， 本来 准备 笑 看 德国队 为了 净胜球 怒 X 棒子 ， 结果 被 棒子 干死 了 。 好 吧 ， 最后 时刻 丢 的 那 俩 球 也 不算什么 ， 不 成功 便成仁 么 ， 这 叫 谋事在人 成事在天 ， 可 你 前面 90 分钟 在 搞 毛 啊 ？ ？ ？ 同一时间 人 瑞典 灌 了 墨西哥 仨 好 么 ！ 我 最气 的 不是 别的 。 本来 世界杯 开始 以后 ， 我们 老板 天天 旷工 ， 这 半个 多月 我们 全 公司 都 爽 的 一批 。 今天 中午 德国 一 输球 ， 下午 老板 就 板 着 个 脸到 公司 督战 来 了 。 — — 没错 ， 我们 老板 是 德国人 。 本来 以为 至少 可以 爽到 四强 呢 ， 我 跟 棒子 有 不共戴天 之仇 。	561
430168546	上次 世界杯 ， 德国   7 : 1   踢 赢 了 巴西 ， 就是 这么 得瑟者 庆祝 新年 的 ： 好 在 他们 也 就 这 一年 可以 这样 的 得 瑟 了 。 这回 他们   0 : 2   输给 了 韩国 ， 那么 是不是 可以 这样 啊 ： 好像 连续 90 多年 ， 都 可以 这么 玩 欸 ， 哈哈哈	104
428251341	球员 谁 都 别怪 ， 至少 没 人 想着 去 输 ， 都 尽力 了 … … 有些 无非 是 尽力 的 方式 不 对 。 比如 维尔纳 ， 厄齐尔 … … 要怪 还是 怪勒夫 。 就 这 小组赛 三场 来说 ， 勒夫 的 表现 跟 我 呆 梨 的 文图拉 有 得 一比 。 还 讨论 个 啥 … … 我 就 会 424 ， 咋 滴	70
