id	text	count
436514280	 谢亚龙 案发后 米 卢说 过 「 的话 我 当时 不想 说 我带 中国队 时候 总是 领导 暗示 说 人 该 上 人 不该 上 … … 他们 觉得 自己 什么 都 懂 但 其实 什么 都 不 懂 事实证明 他们 是 错误 现在 我 在 快乐 地 旅游 他们 却 在 一个 铁窗 世界 里 」	4085
27523867	 小学 四年级 时写 过 叫做 《 以后 绝不 踢球 》 保证书	688
230488339	 我 小学 时候 进过校 足球队 每天 都 盼 着 能 代表 学校 参加 市里 足球比赛 可 终于 比赛 却 发现 老师 找 来 许多 从 我们 学校 毕业 已经 上 初中 学生 让 他们 上场 踢 比赛 要 知道 在 那个 年龄段 年纪 差 一两岁 身体素质 相差 可是 很大 这下 我们 就 可以 轻松 获胜 吧 开 什么 玩笑 对方 也 不是 傻子 好 吗 他们 上 当然 也 是 初中生 ！ ！ ！	260
434682740	 湖南 某 幼儿园 举办 一次 足球赛 有个 班 小朋友 为了 球赛 每天 练习 正式 比赛 时 几乎 每场 都 是 大胜 赢球 最后 赢得 决赛 然而 最后 主办方 却 宣布 冠军 是 一支 根本 没 进入 决赛 球队 只 因为 他们 网络 点赞数 最高 小朋友 们 都 非常 委屈 家长 也 愤怒 不解 面对 家长 们 质疑 主办方 表示 规则 就是 这样 这样 做 是 为了 淡化 幼儿 足球 竞技性 希望 就算 不会 玩球 孩子 也 能 参与 可见一斑	318
27454322	 四年级 时候 我爸 告诉 我 十二亿 人 凭 什么 你 是 那 十一 人中 一个 多年 之后 再 想 起来 只能 说 我 以后 会 去 捍卫 后代 理想	123
27333027	 @ Rolnaersen 說 很 對 我 再 補充 一點點 我 從 小 就 加入 過地區 足球 隊伍 幾年 苦練 參加過 一次 所謂 球賽 后 從此 對 中國 足球 深惡 痛絕 第一次 真真正正 感受 到 來 自 這個 社會 惡意 跟 自己 無助 爲 幾千塊 獎金 職業組 冒充 非 職業 組參賽 業餘 組則 去 參 加大 學組 大學 組虐 高中 組 高中 衹 跑 去 初中 組 直接 就 把 中国 足球 希望 扼杀 在 摇篮 里 這是 一个 连 体育 都 做 不到 公平 时代	124
27330045	 看到 没人发 这个 我 就 发 一下 吧 2 年前 东西 中国 足球 一个 英国人 说 实话 ！ ( 我 哭 ) _ 在线视频 观看	243
53982178	 上学 期间 一直 是 各个 阶段 校队 主力 小学 期间 本校 是 重点 某 全市 比赛 决赛 对方 校队 要求 其 队员 踢 点球 绝对 不能 进 ！ 初中 全省 比赛 本校 小组赛 让 球 教练 出去 大吃一顿 你们 懂得 高中 市运会 报名 18 人 6 人为 领导 孩子 不会 踢球 我们 比赛 人家 背单词 混 一个 二级 运动员 证书 大学 比赛 同 上 然 并 卵 小组 没 出线 工作 之后 陪 领导 玩耍 之类 就 不 说 我 这辈子 没有 踢 过 一次 干净 比赛 ！ ！ ！ 我 这辈子 没有 踢 过 一次 干净 比赛 ！ ！ ！ 我 这辈子 没有 踢 过 一次 干净 比赛 ！ ！ ！	196
27326976	 中国 足球 背负 很多 不 应该 足球 背负 东西	182
419535035	 https / / www zhihu com / video / 991688473023107072 千里马 常有 而 马棚 不 常有	374
