id	text	count
82942989	我们 可是 看过 艾弗森   皮尔斯   基德   卡特   加内特   科比   奥尼尔   麦迪   姚明   纳什   邓肯   秃子   帕克   韦伯     德克   活塞 五虎   甚至 韦德  单骑 救主   过来  人     让 我们 喜欢 一个 商人     抱歉   做 不到	21
82636755	他 不太像 个 纯粹  运动员 更 多 像 个 趋利避害  商人 — — — — 一年 半 之前  回答     现在 看来   还 真 是	26
218724881	 胜是 个 笑话 — — 杜兰特 不 应该 加入  胜 球队 欧文 完爆 库里 — — 老詹一人 对抗 勇士 四 巨头 库里  杜兰特 不配 提 一阵 — — 两个 MVP 当打 之 年 詹姆斯 专治 杜兰特 — — 詹姆斯 累  讲个 笑话 ：  胜 总 亚军 — — 五个 亚军 也 成 黑点  ？ 库里 只会 三分  克莱 体系 雷 迪克 — — 四 巨头 虽败犹荣	23
83589282	是  我 很傻  初中 杂志 买  几十斤  上课 不 听 就 为 看 谁 赢  和 姐姐 斗气 抢 遥控器 看 全明星  懂  我 也 都 懂  联盟  运作  就是 为 扩大 影响力  就是 为 商业  就是 要 盈利  我 傻  但 不 需要 谁 来 提醒 我  而 你 妈  一直 在 提醒 我 	28
158200544	一部分 是因为 无脑 吹 恶心  所谓 一粉 顶十黑  其次 是 詹  球品 和 球场 言论  詹 更 像 一个 篮球 打得 好  商人 	21
108656536	乔丹  科比  奥尼尔 这些 超级 球星 各个 都 有 不 喜欢 他们  球迷  魔术师  大 鸟 这些 老牌 球星 黑 材料 也 是 一大堆  詹姆斯 没理由 让 全世界  人 都 喜欢 他   有些 詹密   水平 真 不行  奶得 过于 暴力  反而 起  反 效果  这 一点 我 觉得 詹密们 应该 好好 反思 一下 	26
106237667	大多 都 是因为 詹密  来 几张 图 看看 吴彦祖 因为 挺 勇士 而 被 大家 喷成  什么 样子 就 明白  这 是 在  素质 堪忧  这些 骂人  不仅 丢  自己  人 还给 你们 詹皇招 黑  在 微博太多  截图 都 截图 不 过来 : ) 詹姆斯 有 这样  球迷 也 真是 倒霉 有 这样  粉丝 还 怕 没有 人 黑  : )	27
163180992	两个 最大  原因  第一 人红  第二 脑残粉 	23
166851357	楼主 这个 问题 简直 毫无 营养 而且 毫无 水平  隔 着 屏幕 都 能 闻到 除 口水 味 就 没 别   换个 主角 依然 成立  为什么 那么 多人 不 喜欢 科比  为什么 那么 多人 不 喜欢 加内特  为什么 那么 多人 不 喜欢 米勒  为什么 那么 多人 不 喜欢 麦迪  有意思  ？	26
219964716	这个 问题 吧  怎么 讲   为什么 那么 多人 不 喜欢 詹姆斯  同样  问题 可以 问 每个 人  为什么 那么 多人 不 喜欢 格林  为什么 那么 多人 不 喜欢 库里  是 有 很多 人 不 喜欢 詹姆斯  但 也 别忘 也 有 很多 人 喜欢 詹姆斯  正如 科比 说   爱 我  人 和 恨 我  人 一样 多 	23
